State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type,winner,vote_share_diff,dynastic,dynastic_1
Karnataka,13,25,1999,9,0,3,1,amarsinh vasantarao patil,M,INC,383444,GEN,781767,1230574,BELGAUM,GEN,NA,4,63.53,49.05,no,49898,6.38,2.38,GEKA15138,National Party,3482,TRUE,2,JD,4217,BELGAUM,TRUE,FALSE,1,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,6.3799999999999955,0,0
Karnataka,13,25,1999,9,0,3,2,babagouda patil,M,BJP,333546,NA,781767,1230574,BELGAUM,GEN,NA,4,63.53,42.67,no,284962,36.45,2.38,AEKA6476,National Party,1605,TRUE,2,BJP,1605,BELGAUM,TRUE,TRUE,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
Karnataka,13,5,1999,9,0,3,2,sushma swaraj,F,BJP,358550,GEN,802055,1213055,BELLARY,GEN,NA,3,66.12,44.7,no,329695,41.11,2.13,GEDL56405,National Party,1605,FALSE,6,BJP,1605,SOUTH DELHI,FALSE,TRUE,2,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
West_Bengal,13,10,1999,9,0,3,1,adhir ranjan chowdhury,M,INC,434073,GEN,926375,1212554,BERHAMPORE,GEN,NA,11,76.4,46.86,no,95391,10.3,2.7,GEWB14053,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,10.299999999999997,0,0
West_Bengal,13,10,1999,9,0,3,2,pramothes mukherjee,M,RSP,338682,GEN,926375,1212554,BERHAMPORE,GEN,NA,11,76.4,36.56,no,204113,22.03,2.7,GEWB14052,State-based Party,12053,TRUE,4,RSP,12053,BERHAMPORE,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
Odisha,13,11,1999,9,0,3,1,anadicharan sahu,M,BJP,310704,GEN,570556,1159468,BERHAMPUR,GEN,NA,3,49.21,54.46,no,54123,9.49,2,GEOD81522,National Party,1605,TRUE,3,INC,3482,CUTTACK,FALSE,FALSE,2,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,9.490000000000002,0,0
Odisha,13,11,1999,9,0,3,2,jayanti patnaik,F,INC,256581,GEN,570556,1159468,BERHAMPUR,GEN,NA,3,49.21,44.97,no,253310,44.4,2,GEOD66456,National Party,3482,TRUE,5,INC,3482,BERHAMPUR,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,1
Bihar,13,2,1999,9,0,3,1,dr madan prasad jaiswal,M,BJP,343027,GEN,689040,1098637,BETTIAH,GEN,NA,10,62.72,49.78,no,39650,5.75,2.27,GEBR30199,National Party,1605,TRUE,5,BJP,1605,BETTIAH,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,5.75,1,0
Bihar,13,2,1999,9,0,3,2,mataur rahman,M,RJD,303377,NA,689040,1098637,BETTIAH,GEN,NA,10,62.72,44.03,no,280060,40.64,2.27,GEBR64658,State-based Party,12103,TRUE,2,RJD,12103,BETTIAH,TRUE,TRUE,0,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
Madhya_Pradesh,13,28,1999,9,0,3,1,vijay kumar khandelwal \ munni bhaiya\,M,BJP,272512,GEN,534072,1021086,BETUL,GEN,NA,5,52.3,51.03,no,64472,12.07,2.38,GEMP56654,National Party,1605,TRUE,3,BJP,1605,BETUL,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,12.079999999999998,0,0
Madhya_Pradesh,13,28,1999,9,0,3,2,gufran bhai,M,INC,208040,NA,534072,1021086,BETUL,GEN,NA,5,52.3,38.95,no,160715,30.09,2.38,GEMP70455,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
Andhra_Pradesh,13,5,1999,9,0,3,1,dumpa mary vijaya kumari,F,TDP,293593,NA,728556,1085536,BHADRACHALAM,ST,NA,6,67.11,40.3,no,37103,5.09,3.23,GEAP69602,State-based Party,8300,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,5.089999999999996,0,0
Andhra_Pradesh,13,5,1999,9,0,3,2,t.ratnabai,F,INC,256490,NA,728556,1085536,BHADRACHALAM,ST,NA,6,67.11,35.21,no,133994,18.39,3.23,GEAP69604,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
Odisha,13,3,1999,9,0,3,1,arjun charan sethi,M,BJD,397450,SC,679138,1195146,BHADRAK,SC,NA,5,56.82,58.52,no,122433,18.03,2,GEOD21074,State-based Party,9079,TRUE,6,BJD,9079,BHADRAK,TRUE,TRUE,5,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,18.020000000000003,0,0
Odisha,13,3,1999,9,0,3,2,panchanan mandal,M,INC,275017,NA,679138,1195146,BHADRAK,SC,NA,5,56.82,40.5,no,270725,39.86,2,GEOD70872,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
Bihar,13,30,1999,9,0,3,1,subodh ray,M,CPM,321159,GEN,669871,1232833,BHAGALPUR,GEN,NA,12,54.34,47.94,no,45540,6.8,2.5,GEBR73551,National Party,14635,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,6.789999999999999,0,0
Bihar,13,30,1999,9,0,3,2,prabhash chandra tiwari,M,BJP,275619,NA,669871,1232833,BHAGALPUR,GEN,NA,12,54.34,41.15,no,248897,37.16,2.5,GEBR52139,National Party,1605,TRUE,3,BJP,1605,BHAGALPUR,TRUE,TRUE,1,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
Maharashtra,13,24,1999,9,0,3,1,chunnilalbhau thakur,M,BJP,291355,NA,635954,938648,BHANDARA,GEN,NA,6,67.75,45.81,no,3819,0.6,2.44,GEMH70672,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,0.6000000000000014,0,0
Maharashtra,13,24,1999,9,0,3,2,dr shrikant jichkar,M,INC,287536,GEN,635954,938648,BHANDARA,GEN,NA,6,67.75,45.21,no,254529,40.02,2.44,GEMH70671,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0
