STCODE,STNAME,DIST,DISTNAME,YEAR,BASE_YR_GDP,AGRI_GDP_CON,LIVES_GDP_CON,FL_GDP_CON,FISH_GDP_CON,MQ_GDP_CON,PS_GDP_CON,MA_GDP_CON,REG_GDP_CON,UREG_GDP_CON,EGWS_GDP_CON,CONS_GDP_CON,SS_GDP_CON,THR_GDP_CON,RAIL_GDP_CON,TMS_GDP_CON,COMM_GDP_CON,BI_GDP_CON,RDBS_GDP_CON,PA_GDP_CON,OS_GDP_CON,TS_GDP_CON,GDDP_CON,AGRI_GDP_CUR,LIVES_GDP_CUR,FL_GDP_CUR,FISH_GDP_CUR,MQ_GDP_CUR,PS_GDP_CUR,MA_GDP_CUR,REG_GDP_CUR,UREG_GDP_CUR,EGWS_GDP_CUR,CONS_GDP_CUR,SS_GDP_CUR,THR_GDP_CUR,RAIL_GDP_CUR,TMS_GDP_CUR,COMM_GDP_CUR,BI_GDP_CUR,RDBS_GDP_CUR,PA_GDP_CUR,OS_GDP_CUR,TS_GDP_CUR,GDDP_CUR,GROSS_PCI_CONP,GROSS_PCI_CURP,...53,...54,...55,...56,...57,...58
17,Assam,617,Golaghat,2006,1999,51701,0,1617,1989,21,55328,19328,14876,4452,3338,5399,28065,42714,4938,2189,4437,5786,4848,7799,24682,97393,180786,68690,0,2174,4072,52,74988,28237,22104,6133,4287,7178,39702,52246,5765,2686,3320,6451,6173,9905,27504,114050,228740,17480.758073873523,22117.578804873334,NA,NA,NA,NA,NA,NA
17,Assam,617,Golaghat,2007,1999,51931,0,1594,2052,22,55599,19817,15276,4541,3423,5664,28904,46776,5520,2297,5394,6173,5443,8850,26664,107117,191620,73933,0,2453,4668,56,81110,31760,24842,6918,4122,7890,43772,56167,6540,2829,3695,6862,6803,11555,32824,127275,252157,18319.311663479923,24106.78776290631,NA,NA,NA,NA,NA,NA
17,Assam,618,Jorhat,1999,1999,54754,0,1990,3305,3336,63385,10390,7940,2450,2454,6928,19772,31302,1490,6593,2456,9270,9198,17819,35553,113681,196838,54754,0,1990,3305,3336,63385,10390,7940,2450,2454,6928,19772,31302,1490,6593,2456,9270,9198,17819,35553,113681,196838,17083.66603020309,17083.66603020309,NA,NA,NA,NA,NA,NA
17,Assam,618,Jorhat,2000,1999,53931,0,2020,3286,3372,62609,8910,6400,2510,2963,8574,20447,33719,1249,6989,2065,9451,9526,19258,39258,121515,204571,55091,0,1933,3329,4019,64372,9332,6739,2593,2992,8659,20983,34052,1377,7140,1887,9646,10579,19448,39984,124113,209468,17544.68267581475,17964.66552315609,NA,NA,NA,NA,NA,NA
17,Assam,618,Jorhat,2001,1999,53471,0,2050,3348,3204,62073,10840,8418,2422,2396,9195,22431,35277,1453,7167,2049,9981,9813,19523,40036,125299,209803,55558,0,2291,3436,3873,65158,11402,8854,2548,2410,9248,23060,35835,1653,7306,1897,11039,11115,19831,41048,129724,217942,17660.185185185186,18345.286195286197,NA,NA,NA,NA,NA,NA
17,Assam,618,Jorhat,2002,1999,53838,0,2086,3713,3276,62913,14664,12057,2607,4490,9363,28517,39710,1704,7256,2672,11431,10106,19508,40419,132806,224236,55811,0,2345,3926,6182,68264,16667,13854,2813,4612,9618,30897,43155,1996,8054,2175,13152,10899,20037,43453,142921,242082,18567.193839529686,20044.87869504016,NA,NA,NA,NA,NA,NA
17,Assam,618,Jorhat,2003,1999,54664,0,2120,3752,3308,63844,16493,13688,2805,4862,11357,32712,42583,1815,8169,3107,10719,10451,20710,43438,140992,237548,58029,0,2389,4734,5845,70997,20073,16877,3196,5172,12080,37325,47746,2230,8852,2444,13513,12655,22029,47640,157109,265431,19385.34356128611,21660.763832218054,NA,NA,NA,NA,NA,NA
17,Assam,618,Jorhat,2004,1999,47159,0,1678,3124,3466,55427,18816,14701,4115,4609,9294,32719,42608,2215,11570,4603,6859,9509,17737,42368,137469,225615,54737,0,1954,3954,7069,67714,23321,18553,4768,5765,11027,40113,53435,2311,10527,3539,8258,12348,21939,46949,159306,267133,20797.84292035398,24625.092182890858,NA,NA,NA,NA,NA,NA
17,Assam,618,Jorhat,2005,1999,48485,0,1697,3219,3621,57022,19133,14817,4316,4745,9665,33543,46919,1395,12099,5273,7329,10998,14949,44141,143103,233668,61544,0,2200,5046,8422,77212,26346,20485,5861,5830,12290,44466,57351,1519,14444,4547,8275,13995,18464,48366,166961,288639,21283.17697422352,26290.099280444483,NA,NA,NA,NA,NA,NA
17,Assam,618,Jorhat,2006,1999,49818,0,1722,2964,3776,58280,19679,15147,4532,5187,10168,35034,53174,1520,12698,6894,8991,12061,15381,47715,158434,251748,66188,0,2317,6074,9435,84014,28754,22509,6245,6662,13518,48934,65040,1776,15406,5159,10024,15358,19533,53172,185468,318416,22661.625708884687,28662.885948330182,NA,NA,NA,NA,NA,NA
