shrid,State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type,winner,vote_share_diff,dynastic,dynastic_1,dynast_3,num_cells,total_light1999,total_light_cal1999,max_light1999,total_light2004,total_light_cal2004,max_light2004,total_light2009,total_light_cal2009,max_light2009,max_light2013,ec13_district_name.x
11-09-122905,Uttar_Pradesh,15,16,2009,4,0,4,1,sarika singh,F,RLD,247927,SC,648468,1437725,hathras,SC,DOAB,10,45.1,38.23,no,36852,5.68,3.33,GEUP11637,State-based Party,12169,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,5.68,0,0,0,5,18,23,4,17.5,25,3.5,25,30,5,5,mahamaya nagar
11-09-122905,Uttar_Pradesh,14,71,2004,4,0,3,2,ram vir singh bhaiyaji,M,BSP,152212,SC,492135,1212983,hathras,SC,NA,11,40.57,30.93,no,33386,6.78,3.45,GEUP78262,State-based Party,16651,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,5,18,23,4,17.5,25,3.5,25,30,5,5,mahamaya nagar
11-09-122905,Uttar_Pradesh,13,75,1999,9,0,3,2,ganga prasad pushkar,M,BSP,109846,NA,459758,1138146,hathras,SC,NA,6,40.4,23.89,no,2298,0.5,3.57,GEUP68071,State-based Party,16651,TRUE,2,BSP,16651,HATHRAS,TRUE,TRUE,0,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,5,18,23,4,17.5,25,3.5,25,30,5,5,mahamaya nagar
11-09-122905,Uttar_Pradesh,14,71,2004,4,0,3,1,kishan lal diler,M,BJP,175049,SC,492135,1212983,hathras,SC,NA,11,40.57,35.57,no,22837,4.64,3.45,GEUP62967,National Party,1605,TRUE,4,BJP,1605,HATHRAS,TRUE,TRUE,4,FALSE,TRUE,TRUE,NA,Other,NA,NA,NA,Lok Sabha Election (GE),1,4.64,0,0,0,5,18,23,4,17.5,25,3.5,25,30,5,5,mahamaya nagar
11-09-122905,Uttar_Pradesh,13,75,1999,9,0,3,1,kishan lal diler,M,BJP,178253,SC,459758,1138146,hathras,SC,NA,6,40.4,38.77,no,68407,14.88,3.57,GEUP62967,National Party,1605,TRUE,3,BJP,1605,HATHRAS,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,14.88,0,0,0,5,18,23,4,17.5,25,3.5,25,30,5,5,mahamaya nagar
11-09-123579,Uttar_Pradesh,15,17,2009,4,0,4,1,jayant chaudhary,M,RLD,379870,GEN,726493,1341649,mathura,GEN,DOAB,16,54.15,52.29,no,169613,23.35,2.78,GEUP11663,State-based Party,12169,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,23.35,1,1,1,16,76,92,5,55,79,4,59,75,5,8,mathura
11-09-123579,Uttar_Pradesh,13,74,1999,9,0,3,2,rameshwar singh,M,RLD,168485,NA,530156,1176548,mathura,GEN,NA,12,45.06,31.78,no,49765,9.39,3.23,GEUP72662,State-based Party,12169,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,0,1,16,76,92,5,55,79,4,59,75,5,8,mathura
11-09-123579,Uttar_Pradesh,15,17,2009,4,0,4,2,shyam sunder sharma,M,BSP,210257,GEN,726493,1341649,mathura,GEN,DOAB,16,54.15,28.94,no,124839,17.18,2.78,AEUP102927,State-based Party,16651,TRUE,2,AIIC(T),8871,MATHURA,TRUE,FALSE,0,TRUE,FALSE,FALSE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,16,76,92,5,55,79,4,59,75,5,8,mathura
11-09-123579,Uttar_Pradesh,14,70,2004,4,0,3,2,choudhary laxminarayan,M,BSP,149268,GEN,602187,1277346,mathura,GEN,NA,16,47.14,24.79,no,4902,0.81,4,AEUP202461,State-based Party,16651,TRUE,3,INC,3482,MATHURA,TRUE,FALSE,0,TRUE,FALSE,FALSE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,16,76,92,5,55,79,4,59,75,5,8,mathura
11-09-123579,Uttar_Pradesh,13,74,1999,9,0,3,1,ch. tejvir singh,M,BJP,210212,NA,530156,1176548,mathura,GEN,NA,12,45.06,39.65,no,41727,7.87,3.23,GEUP62938,National Party,1605,TRUE,3,BJP,1605,MATHURA,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,7.87,0,0,0,16,76,92,5,55,79,4,59,75,5,8,mathura
11-09-124477,Uttar_Pradesh,13,73,1999,9,0,3,2,bhagwan shankar rawat,M,BJP,175576,NA,642426,1250278,agra,GEN,NA,16,51.38,27.33,no,55814,8.69,3.33,GEUP34220,National Party,1605,TRUE,5,BJP,1605,AGRA,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,4,47.5,58,14,52.5,68,14.5,88,98,24,49,agra
11-09-124477,Uttar_Pradesh,15,18,2009,4,0,4,2,kunwar chand (vakil),M,BSP,193982,SC,647090,1539683,agra,SC,DOAB,15,42.03,29.98,no,52615,8.13,3.85,GEUP11708,State-based Party,16651,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,Graduate Professional,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,4,47.5,58,14,52.5,68,14.5,88,98,24,49,agra
11-09-124477,Uttar_Pradesh,13,73,1999,9,0,3,1,raj babbar,M,SP,288558,GEN,642426,1250278,agra,GEN,NA,16,51.38,44.92,no,112982,17.59,3.33,GEUP60741,State-based Party,7425,TRUE,2,SP,7425,LUCKNOW,FALSE,TRUE,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,17.59,0,0,0,4,47.5,58,14,52.5,68,14.5,88,98,24,49,agra
11-09-124477,Uttar_Pradesh,14,69,2004,4,0,3,2,murari lal mittal fatehpuria,M,BJP,185752,GEN,642719,1430713,agra,GEN,NA,16,44.92,28.9,no,11603,1.81,3.45,GEUP78227,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,4,47.5,58,14,52.5,68,14.5,88,98,24,49,agra
11-09-124477,Uttar_Pradesh,15,18,2009,4,0,4,1,dr. ramshankar,M,BJP,203697,SC,647090,1539683,agra,SC,DOAB,15,42.03,31.48,no,9715,1.5,3.85,GEUP11688,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Doctorate,Other,NA,NA,NA,Lok Sabha Election (GE),1,1.5,0,0,0,4,47.5,58,14,52.5,68,14.5,88,98,24,49,agra
11-09-124477,Uttar_Pradesh,14,69,2004,4,0,3,1,raj babbar,M,SP,243094,GEN,642719,1430713,agra,GEN,NA,16,44.92,37.82,no,57342,8.92,3.45,GEUP60741,State-based Party,7425,TRUE,3,SP,7425,AGRA,TRUE,TRUE,2,FALSE,TRUE,TRUE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,8.92,0,0,0,4,47.5,58,14,52.5,68,14.5,88,98,24,49,agra
11-09-126215,Uttar_Pradesh,13,69,1999,9,0,3,2,darshan singh yadav,M,BJP,216087,NA,569538,1109097,mainpuri,GEN,NA,17,51.35,37.94,no,140980,24.75,2.94,GEUP72581,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,1,1,7,0,0,0,0,3.5,0,0,7,0,0,mainpuri
11-09-126215,Uttar_Pradesh,15,21,2009,4,0,4,1,mulayam singh yadav,M,SP,392308,GEN,695032,1399259,mainpuri,GEN,DOAB,15,49.67,56.44,no,173069,24.9,2.33,AEUP101085,State-based Party,7425,TRUE,6,SP,7425,MAINPURI,TRUE,TRUE,5,FALSE,FALSE,TRUE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,24.9,1,1,1,7,0,0,0,0,3.5,0,0,7,0,0,mainpuri
11-09-126215,Uttar_Pradesh,15,21,2009,4,0,4,2,vinay shakya,M,BSP,219239,GEN,695032,1399259,mainpuri,GEN,DOAB,15,49.67,31.54,no,162974,23.45,2.33,AEUP104367,State-based Party,16651,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,7,0,0,0,0,3.5,0,0,7,0,0,mainpuri
11-09-126215,Uttar_Pradesh,13,69,1999,9,0,3,1,balram singh yadav,M,SP,244113,GEN,569538,1109097,mainpuri,GEN,NA,17,51.35,42.86,no,28026,4.92,2.94,GEBR62761,State-based Party,7425,TRUE,6,SP,7425,MAINPURI,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,4.92,1,1,1,7,0,0,0,0,3.5,0,0,7,0,0,mainpuri
11-09-126215,Uttar_Pradesh,14,65,2004,NA,1,3,1,dharmendra yadav,M,SP,348999,GEN,557114,1211411,mainpuri,GEN,NA,13,45.99,62.64,no,179713,32.26,2.08,GEUP78181,State-based Party,7425,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,1,1,7,0,0,0,0,3.5,0,0,7,0,0,mainpuri
11-09-126215,Uttar_Pradesh,14,65,2004,4,0,3,1,mulayam singh yadav,M,SP,460470,GEN,719918,1211002,mainpuri,GEN,NA,13,59.45,63.96,no,337870,46.93,2.17,AEUP101085,State-based Party,7425,FALSE,5,SP,7425,KANNAUJ,FALSE,TRUE,4,FALSE,TRUE,TRUE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,1.32,1,1,1,7,0,0,0,0,3.5,0,0,7,0,0,mainpuri
11-09-136754,Uttar_Pradesh,14,13,2004,4,0,3,1,rajesh verma,M,BSP,171733,GEN,596569,1292685,sitapur,GEN,NA,16,46.15,28.79,no,5234,0.88,4.55,GEUP71828,State-based Party,16651,TRUE,2,BSP,16651,SITAPUR,TRUE,TRUE,2,FALSE,TRUE,TRUE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,0.879999999999999,0,1,1,1,0,0,0,0,0.5,0,0,1,0,0,sitapur
11-09-136754,Uttar_Pradesh,15,30,2009,4,0,4,2,mahendra singh verma,M,SP,221474,GEN,704911,1230078,sitapur,GEN,AVADH,16,57.31,31.42,no,104193,14.78,3.85,GEUP12004,State-based Party,7425,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,12th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,0,1,1,0,0,0,0,0.5,0,0,1,0,0,sitapur
11-09-136754,Uttar_Pradesh,14,13,2004,4,0,3,2,mukhtar anees,M,SP,166499,GEN,596569,1292685,sitapur,GEN,NA,16,46.15,27.91,no,28677,4.81,4.55,AEUP13065,State-based Party,7425,TRUE,2,SP,7425,SITAPUR,TRUE,TRUE,0,FALSE,FALSE,FALSE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,1,1,1,0,0,0,0,0.5,0,0,1,0,0,sitapur
11-09-136754,Uttar_Pradesh,15,30,2009,4,0,4,1,kaisar jahan,F,BSP,241106,GEN,704911,1230078,sitapur,GEN,AVADH,16,57.31,34.2,no,19632,2.79,3.85,GEUP12024,State-based Party,16651,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,8th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),1,2.78,1,0,1,1,0,0,0,0,0.5,0,0,1,0,0,sitapur
11-09-136754,Uttar_Pradesh,13,17,1999,9,0,3,2,janardan prasad misra,M,BJP,174758,GEN,636913,1113415,sitapur,GEN,NA,14,57.2,27.44,no,43108,6.77,3.85,AEUP116329,National Party,1605,TRUE,5,BJP,1605,SITAPUR,TRUE,TRUE,2,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,0,1,1,0,0,0,0,0.5,0,0,1,0,0,sitapur
11-09-136754,Uttar_Pradesh,13,17,1999,9,0,3,1,rajesh verma,M,BSP,211120,GEN,636913,1113415,sitapur,GEN,NA,14,57.2,33.15,no,36362,5.71,3.85,GEUP71828,State-based Party,16651,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,5.71,0,1,1,1,0,0,0,0,0.5,0,0,1,0,0,sitapur
11-09-141182,Uttar_Pradesh,14,18,2004,4,0,3,2,deepak kumar,M,SP,160605,GEN,547566,1303203,unnao,GEN,NA,16,42.02,29.33,no,65894,12.03,4,GEUP2025885,State-based Party,7425,TRUE,3,SP,7425,UNNAO,TRUE,TRUE,1,FALSE,TRUE,TRUE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,4,0,0,0,0,2,0,0,4,0,0,NA
11-09-141182,Uttar_Pradesh,13,22,1999,9,0,3,2,mohd. moin,M,BSP,169467,NA,590401,1201204,unnao,GEN,NA,14,49.15,28.7,no,19921,3.37,3.7,GEUP67404,State-based Party,16651,TRUE,2,BSP,16651,UNNAO,TRUE,TRUE,0,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,4,0,0,0,0,2,0,0,4,0,0,NA
11-09-141182,Uttar_Pradesh,15,33,2009,4,0,4,1,annutandon,F,INC,475476,GEN,904542,1818980,unnao,GEN,AVADH,21,49.73,52.57,no,302092,33.4,2.86,GEUP12081,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,33.4,0,0,0,4,0,0,0,0,2,0,0,4,0,0,NA
11-09-141182,Uttar_Pradesh,13,22,1999,9,0,3,1,deepak kumar,M,SP,207242,GEN,590401,1201204,unnao,GEN,NA,14,49.15,35.1,no,37775,6.4,3.7,GEUP2025885,State-based Party,7425,TRUE,2,SP,7425,UNNAO,TRUE,TRUE,1,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,6.4,0,0,0,4,0,0,0,0,2,0,0,4,0,0,NA
11-09-141182,Uttar_Pradesh,15,33,2009,4,0,4,2,arunshankarshukla,M,BSP,173384,GEN,904542,1818980,unnao,GEN,AVADH,21,49.73,19.17,no,28245,3.12,2.86,GEUP12120,State-based Party,16651,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,10th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,1,1,4,0,0,0,0,2,0,0,4,0,0,NA
11-09-141182,Uttar_Pradesh,14,18,2004,4,0,3,1,brajesh pathak,M,BSP,178366,GEN,547566,1303203,unnao,GEN,NA,16,42.02,32.57,no,17761,3.24,4,GEUP77549,State-based Party,16651,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Graduate Professional,Other,NA,NA,NA,Lok Sabha Election (GE),1,3.24,0,0,0,4,0,0,0,0,2,0,0,4,0,0,NA
11-09-143789,Uttar_Pradesh,15,36,2009,4,0,4,1,sonia gandhi,F,INC,481490,GEN,666648,1379507,rae bareli,GEN,AVADH,16,48.33,72.23,no,372165,55.83,1.82,GEKA16390,National Party,3482,TRUE,5,INC,3482,RAEBAREILLY,FALSE,TRUE,3,FALSE,TRUE,TRUE,Others,Other,NA,NA,NA,Lok Sabha Election (GE),1,55.83,1,0,1,8,0,0,0,3.5,8.5,2,12,20,4,0,rae bareli
11-09-143789,Uttar_Pradesh,13,23,1999,9,0,3,1,captain satish sharma,M,INC,224202,GEN,684461,1174548,rae bareli,GEN,NA,23,58.27,32.76,no,73549,10.75,4.17,GEUP83366,National Party,3482,TRUE,4,INC,3482,AMETHI,FALSE,TRUE,3,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,10.75,0,0,0,8,0,0,0,3.5,8.5,2,12,20,4,0,rae bareli
11-09-143789,Uttar_Pradesh,15,36,2009,4,0,4,2,r.s.kushwaha,M,BSP,109325,GEN,666648,1379507,rae bareli,GEN,AVADH,16,48.33,16.4,yes,83881,12.58,1.82,AEUP2024247,State-based Party,16651,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,12th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,8,0,0,0,3.5,8.5,2,12,20,4,0,rae bareli
11-09-143789,Uttar_Pradesh,14,19,2004,4,0,3,2,ashok kumar singh,M,SP,128342,GEN,643560,1329169,rae bareli,GEN,NA,16,48.42,19.94,no,70799,11,2.5,GEUP48086,State-based Party,7425,FALSE,4,BJP,1605,RAE BARELI,TRUE,FALSE,2,TRUE,FALSE,FALSE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,0,1,8,0,0,0,3.5,8.5,2,12,20,4,0,rae bareli
11-09-143789,Uttar_Pradesh,13,23,1999,9,0,3,2,gajadhar singh,M,SP,150653,NA,684461,1174548,rae bareli,GEN,NA,23,58.27,22.01,no,12878,1.88,4.17,GEUP71920,State-based Party,7425,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,8,0,0,0,3.5,8.5,2,12,20,4,0,rae bareli
11-09-143789,Uttar_Pradesh,14,19,2004,4,0,3,1,sonia gandhi,F,INC,378107,GEN,643560,1329169,rae bareli,GEN,NA,16,48.42,58.75,no,249765,38.81,2.5,GEKA16390,National Party,3482,FALSE,3,INC,3482,AMETHI,FALSE,TRUE,2,FALSE,TRUE,TRUE,Others,Other,NA,NA,NA,Lok Sabha Election (GE),1,38.81,1,0,1,8,0,0,0,3.5,8.5,2,12,20,4,0,rae bareli
11-09-145562,Uttar_Pradesh,15,40,2009,4,0,4,2,naresh chandra agrawal,M,BSP,142152,GEN,611015,1306214,farrukhabad,GEN,DOAB,16,46.78,23.26,no,14805,2.42,4.76,GEUP12348,State-based Party,16651,TRUE,3,INC,3482,SHAHABAD,FALSE,FALSE,0,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,6,0,0,0,0,3,0,0,6,0,0,farrukhabad
11-09-145562,Uttar_Pradesh,13,68,1999,9,0,3,2,prof. ram bakhsh singh verma,M,BJP,160422,NA,632970,1241968,farrukhabad,GEN,NA,11,50.97,25.34,no,4821,0.76,3.85,GEUP72566,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,6,0,0,0,0,3,0,0,6,0,0,farrukhabad
11-09-145562,Uttar_Pradesh,15,40,2009,4,0,4,1,salman khursheed,M,INC,169351,GEN,611015,1306214,farrukhabad,GEN,DOAB,16,46.78,27.72,no,27199,4.45,4.76,GEUP41160,National Party,3482,TRUE,5,INC,3482,FARRUKHABAD,TRUE,TRUE,2,FALSE,FALSE,FALSE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,4.46,1,1,1,6,0,0,0,0,3,0,0,6,0,0,farrukhabad
11-09-145562,Uttar_Pradesh,14,64,2004,4,0,3,1,chandra bhushan singh (munnoo babu),M,SP,176129,GEN,665435,1366501,farrukhabad,GEN,NA,16,48.7,26.47,no,2745,0.41,4.76,AEUP136260,State-based Party,7425,TRUE,4,SP,7425,FARRUKHABAD,TRUE,TRUE,3,FALSE,TRUE,TRUE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,0.41,0,0,0,6,0,0,0,0,3,0,0,6,0,0,farrukhabad
11-09-145562,Uttar_Pradesh,13,68,1999,9,0,3,1,chandra bhushan singh (munnoo babu),M,SP,222984,GEN,632970,1241968,farrukhabad,GEN,NA,11,50.97,35.23,no,62562,9.88,3.85,AEUP136260,State-based Party,7425,TRUE,3,BJP,1605,KANNAUJ,FALSE,FALSE,2,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,9.89,0,0,0,6,0,0,0,0,3,0,0,6,0,0,farrukhabad
11-09-145562,Uttar_Pradesh,14,64,2004,4,0,3,2,louise khurshid,F,INC,173384,GEN,665435,1366501,farrukhabad,GEN,NA,16,48.7,26.06,no,37264,5.6,4.76,AEUP68931,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,6,0,0,0,0,3,0,0,6,0,0,farrukhabad
11-09-146569,Uttar_Pradesh,13,67,1999,9,0,3,2,arvind pratap singh,M,ABLTC,212478,NA,684085,1157142,kannauj,GEN,NA,16,59.12,31.06,no,93986,13.74,3.23,GEUP67964,Local Party,412,FALSE,2,SP,7425,FARRUKHABAD,FALSE,FALSE,0,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,0,1,3,0,0,0,1,3,1,0,3,0,0,kannauj
11-09-146569,Uttar_Pradesh,14,63,2004,4,0,3,2,th. rajesh singh,M,BSP,156994,GEN,758627,1346673,kannauj,GEN,NA,10,56.33,20.69,no,44645,5.88,2.33,GEUP78157,State-based Party,16651,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,3,0,0,0,1,3,1,0,3,0,0,kannauj
11-09-146569,Uttar_Pradesh,13,67,1999,9,0,3,1,mulayam singh yadav,M,SP,291617,GEN,684085,1157142,kannauj,GEN,NA,16,59.12,42.63,no,79139,11.57,3.23,AEUP101085,State-based Party,7425,FALSE,4,SP,7425,SAMBHAL,FALSE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,11.57,1,1,1,3,0,0,0,1,3,1,0,3,0,0,kannauj
11-09-146569,Uttar_Pradesh,15,42,2009,4,0,4,2,dr. mahesh chandra verma,M,BSP,221887,GEN,741950,1504276,kannauj,GEN,DOAB,16,49.32,29.91,no,71015,9.57,2.94,GEUP12423,State-based Party,16651,FALSE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,3,0,0,0,1,3,1,0,3,0,0,kannauj
11-09-146569,Uttar_Pradesh,14,63,2004,4,0,3,1,akhilesh yadav,M,SP,464367,GEN,758627,1346673,kannauj,GEN,NA,10,56.33,61.21,no,307373,40.52,2.33,GEUP84124,State-based Party,7425,TRUE,2,SP,7425,KANNAUJ,TRUE,TRUE,2,FALSE,TRUE,TRUE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,40.52,1,1,1,3,0,0,0,1,3,1,0,3,0,0,kannauj
11-09-147321,Uttar_Pradesh,15,41,2009,4,0,4,1,premdas,M,SP,278776,SC,637920,1416867,etawah,SC,DOAB,13,45.02,43.7,no,46746,7.33,2.86,GEUP12392,State-based Party,7425,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,7.33000000000001,0,0,0,6,1.5,2.5,1.5,25.5,34.5,5,4,10,4,17,etawah
11-09-147321,Uttar_Pradesh,13,66,1999,9,0,3,1,raghuraj singh shakya,M,SP,233065,GEN,601874,1148723,etawah,GEN,NA,14,52.4,38.72,no,83683,13.9,3.57,GEUP72535,State-based Party,7425,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,13.9,0,0,0,6,1.5,2.5,1.5,25.5,34.5,5,4,10,4,17,etawah
11-09-147321,Uttar_Pradesh,14,62,2004,4,0,3,2,sarita bhadauria,F,BJP,177650,GEN,703946,1264620,etawah,GEN,NA,14,55.66,25.24,no,47607,6.76,2.78,GEUP72547,National Party,1605,TRUE,2,INC,3482,ETAWAH,TRUE,FALSE,0,TRUE,FALSE,TRUE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,6,1.5,2.5,1.5,25.5,34.5,5,4,10,4,17,etawah
11-09-147321,Uttar_Pradesh,13,66,1999,9,0,3,2,shiv prasad yadav,M,BSP,149382,NA,601874,1148723,etawah,GEN,NA,14,52.4,24.82,no,4856,0.81,3.57,GEUP72546,State-based Party,16651,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,6,1.5,2.5,1.5,25.5,34.5,5,4,10,4,17,etawah
11-09-147321,Uttar_Pradesh,14,62,2004,4,0,3,1,raghuraj singh shakya,M,SP,367807,GEN,703946,1264620,etawah,GEN,NA,14,55.66,52.25,no,190157,27.01,2.78,GEUP72535,State-based Party,7425,TRUE,2,SP,7425,ETAWAH,TRUE,TRUE,2,FALSE,TRUE,TRUE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,27.01,0,0,0,6,1.5,2.5,1.5,25.5,34.5,5,4,10,4,17,etawah
11-09-147321,Uttar_Pradesh,15,41,2009,4,0,4,2,gaurishanker,M,BSP,232030,SC,637920,1416867,etawah,SC,DOAB,13,45.02,36.37,no,126378,19.81,2.86,AEUP113440,State-based Party,16651,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,6,1.5,2.5,1.5,25.5,34.5,5,4,10,4,17,etawah
11-09-150896,Uttar_Pradesh,15,45,2009,4,0,4,1,ghansyam anuragi,M,SP,283023,SC,797584,1684988,jalaun,SC,BUNDELKHAND,16,47.33,35.49,no,11409,1.43,3.45,GEUP12517,State-based Party,7425,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,1.44,1,0,1,7,0,0,0,0,3.5,0,0,7,0,0,jalaun
11-09-150896,Uttar_Pradesh,14,58,2004,4,0,3,2,ghanshyam kori,M,SP,168437,SC,579777,1310156,jalaun,SC,NA,11,44.25,29.05,no,10878,1.88,3.85,GEUP78093,State-based Party,7425,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,7,0,0,0,0,3.5,0,0,7,0,0,jalaun
