shrid,State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type,winner,vote_share_diff,dynastic,dynastic_1,dynast_3,num_cells,total_light1999,total_light_cal1999,max_light1999,total_light2004,total_light_cal2004,max_light2004,total_light2009,total_light_cal2009,max_light2009,max_light2013,ec13_district_name.x
11-06-061558,Haryana,15,7,2009,4,0,4,1,deepender singh,M,INC,585016,GEN,835925,1274972,rohtak,GEN,NA,16,65.56,69.98,no,445736,53.32,1.89,GEHR82252,National Party,3482,TRUE,2,INC,3482,ROHTAK(PC),FALSE,TRUE,2,FALSE,TRUE,TRUE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,53.32,1,1,1,49,203.5,247.5,6,214,294.5,5.5,325,392,11,12,rohtak
11-06-061558,Haryana,14,5,2004,4,0,3,2,abhimanyu,M,BJP,173800,GEN,662049,1055610,rohtak,GEN,NA,24,62.72,26.25,no,68160,10.3,2.94,GEHR75826,National Party,1605,FALSE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,1,1,49,203.5,247.5,6,214,294.5,5.5,325,392,11,12,rohtak
11-06-061558,Haryana,13,5,1999,9,0,3,1,inder singh,M,INLD,366926,NA,633373,938878,rohtak,GEN,NA,14,67.46,57.93,no,144693,22.84,2.17,GEHR44117,State-based Party,3863,TRUE,2,HVP,10391,ROHTAK,TRUE,FALSE,1,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,22.84,1,1,1,49,203.5,247.5,6,214,294.5,5.5,325,392,11,12,rohtak
11-06-061558,Haryana,14,5,2004,4,0,3,1,bhupinder singh,M,INC,324235,GEN,662049,1055610,rohtak,GEN,NA,24,62.72,48.97,no,150435,22.72,2.94,AEHR2236,National Party,3482,FALSE,5,INC,3482,ROHTAK,TRUE,TRUE,4,FALSE,FALSE,TRUE,Graduate Professional,Other,NA,NA,NA,Lok Sabha Election (GE),1,22.72,1,1,1,49,203.5,247.5,6,214,294.5,5.5,325,392,11,12,rohtak
11-06-061558,Haryana,13,5,1999,9,0,3,2,bhupinder singh,M,INC,222233,GEN,633373,938878,rohtak,GEN,NA,14,67.46,35.09,no,194968,30.78,2.17,AEHR2236,National Party,3482,TRUE,4,INC,3482,ROHTAK,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,1,1,49,203.5,247.5,6,214,294.5,5.5,325,392,11,12,rohtak
11-06-061558,Haryana,15,7,2009,4,0,4,2,nafe singh rathee,M,INLD,139280,GEN,835925,1274972,rohtak,GEN,NA,16,65.56,16.66,yes,71070,8.5,1.89,AEHR7011,State-based Party,3863,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,10th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,49,203.5,247.5,6,214,294.5,5.5,325,392,11,12,rohtak
11-06-061964,Haryana,13,7,1999,9,0,3,2,inderjit singh,M,INC,281566,GEN,744706,1236918,mahendragarh,GEN,NA,9,60.21,37.81,no,255740,34.34,2.17,GEHR300760,National Party,3482,TRUE,2,INC,3482,MAHENDRAGARH,TRUE,TRUE,1,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,1,1,5,37,46,10,48,63,12.5,55,65,14,21,mahendragarh
11-06-061964,Haryana,14,7,2004,4,0,3,2,dr. sudha yadav,F,BJP,148373,GEN,849305,1429015,mahendragarh,GEN,NA,14,59.43,17.47,no,27311,3.22,4,GEHR3708,National Party,1605,TRUE,2,BJP,1605,MAHENDRAGARH,TRUE,TRUE,1,FALSE,TRUE,TRUE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,5,37,46,10,48,63,12.5,55,65,14,21,mahendragarh
11-06-061964,Haryana,13,7,1999,9,0,3,1,dr. sudha yadav,F,BJP,420706,GEN,744706,1236918,mahendragarh,GEN,NA,9,60.21,56.49,no,139140,18.68,2.17,GEHR3708,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,18.68,0,0,0,5,37,46,10,48,63,12.5,55,65,14,21,mahendragarh
11-06-061964,Haryana,14,7,2004,4,0,3,1,inderjit singh,M,INC,358714,GEN,849305,1429015,mahendragarh,GEN,NA,14,59.43,42.24,no,210341,24.77,4,GEHR300760,National Party,3482,TRUE,3,INC,3482,MAHENDRAGARH,TRUE,TRUE,2,FALSE,FALSE,TRUE,Graduate Professional,Other,NA,NA,NA,Lok Sabha Election (GE),1,24.77,1,1,1,5,37,46,10,48,63,12.5,55,65,14,21,mahendragarh
