State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,district,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type,total_light1996,total_light_cal1996,max_light1996,total_light1999,total_light_cal1999,max_light1999,total_light2004,total_light_cal2004,max_light2004,total_light2009,total_light_cal2009,max_light2009,total_light2013,total_light_cal2013,max_light2013,pc91_pca_tot_p,pc01_pca_tot_p,pc11_pca_tot_p,pc96_pca_tot_p,pc99_pca_tot_p,pc04_pca_tot_p,pc09_pca_tot_p,pc14_pca_tot_p,vote_share_diff,population,total_light_diff,max_light_diff,total_light_cal_diff,education,year_1996,year_1999,year_2004,year_2009,dynast_wiki,dynast_pdf,dynast
Gujarat,11,7,1996,4,0,3,1,DILEEP SANGHANI,1,BJP,223548,GEN,355389,805749,amreli,GEN,NA,20,44.11,62.9,no,108369,30.49,1.96,AEGJ14411,National Party,1605,TRUE,2,BJP,1605,AMRELI,TRUE,TRUE,2,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),45667,57250,3832,52838,64772,4456,37686.5,52233,3023,41297,50998,3495,52670,51100,4383,1298146,1387094,1502911,1342620,1369304.4,1421839.1,1479747.6,1529147.583333332,30.490000000000002,1342620,0.14585469242079263,0.15086464251636933,0.1234457687768753,NA,1,0,0,0,1,0,1
Gujarat,11,7,1996,4,0,3,2,NAVINCHANDRA RAVANI,1,INC,115179,NA,355389,805749,amreli,GEN,NA,20,44.11,32.41,no,113034,31.81,1.96,AEGJ130,National Party,3482,TRUE,5,INC,3482,AMRELI,TRUE,TRUE,2,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),45667,57250,3832,52838,64772,4456,37686.5,52233,3023,41297,50998,3495,52670,51100,4383,1298146,1387094,1502911,1342620,1369304.4,1421839.1,1479747.6,1529147.583333332,-30.490000000000002,1342620,0.14585469242079263,0.15086464251636933,0.1234457687768753,NA,1,0,0,0,0,0,0
Bihar,11,40,1996,4,0,3,1,VIRENDRA KUMAR SINGH,1,JD,185761,NA,538309,1088114,aurangabad,GEN,NA,36,49.47,34.51,no,23032,4.28,4,GEBR52465,National Party,4217,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),67199,83591,9084,70647,85608.5,9344.5,65445.5,89877,8932.5,58262,76108,8214,71922,78860,11873,3671222,4809493,6105778,4240357.5,4581838.8,5198378.5,5846521,6444625.733333349,4.279999999999998,4240357.5,0.05003727891795329,0.028273310684909347,0.023848718490295795,NA,1,0,0,0,0,0,0
Bihar,11,40,1996,4,0,3,1,VIRENDRA KUMAR SINGH,1,JD,185761,NA,538309,1088114,aurangabad,GEN,NA,36,49.47,34.51,no,23032,4.28,4,GEBR52465,National Party,4217,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),67199,83591,9084,70647,85608.5,9344.5,65445.5,89877,8932.5,58262,76108,8214,71922,78860,11873,3671222,4809493,6105778,4240357.5,4581838.8,5198378.5,5846521,6444625.733333349,16.909999999999997,4240357.5,0.05003727891795329,0.028273310684909347,0.023848718490295795,NA,1,0,0,0,0,0,0
Bihar,11,40,1996,4,0,3,2,SATYENDRA NARAYAN SINGH,1,INC,162729,NA,538309,1088114,aurangabad,GEN,NA,36,49.47,30.23,no,57594,10.7,4,GEBR22836,National Party,3482,TRUE,6,INC,3482,AURANGABAD,TRUE,TRUE,4,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),67199,83591,9084,70647,85608.5,9344.5,65445.5,89877,8932.5,58262,76108,8214,71922,78860,11873,3671222,4809493,6105778,4240357.5,4581838.8,5198378.5,5846521,6444625.733333349,-4.279999999999998,4240357.5,0.05003727891795329,0.028273310684909347,0.023848718490295795,NA,1,0,0,0,0,1,1
Bihar,11,40,1996,4,0,3,2,SATYENDRA NARAYAN SINGH,1,INC,162729,NA,538309,1088114,aurangabad,GEN,NA,36,49.47,30.23,no,57594,10.7,4,GEBR22836,National Party,3482,TRUE,6,INC,3482,AURANGABAD,TRUE,TRUE,4,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),67199,83591,9084,70647,85608.5,9344.5,65445.5,89877,8932.5,58262,76108,8214,71922,78860,11873,3671222,4809493,6105778,4240357.5,4581838.8,5198378.5,5846521,6444625.733333349,-16.909999999999997,4240357.5,0.05003727891795329,0.028273310684909347,0.023848718490295795,NA,1,0,0,0,0,1,1
Maharashtra,11,33,1996,4,0,3,1,JAISWAL PRADEEP,1,SHS,301163,NA,677634,1318963,aurangabad,GEN,NA,22,51.38,44.44,no,114579,16.91,3.33,GEMH57778,State-based Party,18691,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),67199,83591,9084,70647,85608.5,9344.5,65445.5,89877,8932.5,58262,76108,8214,71922,78860,11873,3671222,4809493,6105778,4240357.5,4581838.8,5198378.5,5846521,6444625.733333349,4.279999999999998,4240357.5,0.05003727891795329,0.028273310684909347,0.023848718490295795,NA,1,0,0,0,0,0,0
Maharashtra,11,33,1996,4,0,3,1,JAISWAL PRADEEP,1,SHS,301163,NA,677634,1318963,aurangabad,GEN,NA,22,51.38,44.44,no,114579,16.91,3.33,GEMH57778,State-based Party,18691,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),67199,83591,9084,70647,85608.5,9344.5,65445.5,89877,8932.5,58262,76108,8214,71922,78860,11873,3671222,4809493,6105778,4240357.5,4581838.8,5198378.5,5846521,6444625.733333349,16.909999999999997,4240357.5,0.05003727891795329,0.028273310684909347,0.023848718490295795,NA,1,0,0,0,0,0,0
Maharashtra,11,33,1996,4,0,3,2,SURESH PATIL,1,INC,186584,NA,677634,1318963,aurangabad,GEN,NA,22,51.38,27.53,no,97621,14.41,3.33,GEMH38179,National Party,3482,TRUE,2,INC,3482,AURANGABAD,TRUE,TRUE,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),67199,83591,9084,70647,85608.5,9344.5,65445.5,89877,8932.5,58262,76108,8214,71922,78860,11873,3671222,4809493,6105778,4240357.5,4581838.8,5198378.5,5846521,6444625.733333349,-4.279999999999998,4240357.5,0.05003727891795329,0.028273310684909347,0.023848718490295795,NA,1,0,0,0,1,1,1
Maharashtra,11,33,1996,4,0,3,2,SURESH PATIL,1,INC,186584,NA,677634,1318963,aurangabad,GEN,NA,22,51.38,27.53,no,97621,14.41,3.33,GEMH38179,National Party,3482,TRUE,2,INC,3482,AURANGABAD,TRUE,TRUE,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),67199,83591,9084,70647,85608.5,9344.5,65445.5,89877,8932.5,58262,76108,8214,71922,78860,11873,3671222,4809493,6105778,4240357.5,4581838.8,5198378.5,5846521,6444625.733333349,-16.909999999999997,4240357.5,0.05003727891795329,0.028273310684909347,0.023848718490295795,NA,1,0,0,0,1,1,1
