State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,district,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type,total_light1996,total_light_cal1996,max_light1996,total_light1999,total_light_cal1999,max_light1999,total_light2004,total_light_cal2004,max_light2004,total_light2009,total_light_cal2009,max_light2009,total_light2013,total_light_cal2013,max_light2013,pc91_pca_tot_p,pc01_pca_tot_p,pc11_pca_tot_p,pc96_pca_tot_p,pc99_pca_tot_p,pc04_pca_tot_p,pc09_pca_tot_p,pc14_pca_tot_p,vote_share_diff,population,total_light_diff,max_light_diff,total_light_cal_diff,education,year_1996,year_1999,year_2004,year_2009,Andhra_Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Goa,Gujarat,Haryana,Himachal_Pradesh,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya_Pradesh,Maharashtra,Odisha,Puducherry,Punjab,Rajasthan,Tamil_Nadu,Uttar_Pradesh,Uttarakhand,West_Bengal,dynast_wiki,dynast_pdf,dynast,dynast_2004,dynast_1999,transition
Maharashtra,15,17,2009,4,0,4,1,adv. dudhgaonkar ganeshrao nagorao,1,SHS,385387,GEN,870726,1610088,parbhani,GEN,NA,19,54.08,44.26,no,65418,7.51,2.86,GEMH57719,State-based Party,18691,TRUE,2,IND,10809,PARBHANI,TRUE,FALSE,1,FALSE,FALSE,FALSE,Graduate Professional,Other,NA,NA,NA,Lok Sabha Election (GE),32125,40172,4014,34056,41622,4137.5,29471,40933.5,3603.5,30796,38835,3844,44816,43485,5610,1289441,1514117,1815762,1401779,1469181.8,1604610.5,1755433,1881881.9833333343,7.509999999999998,1401779,0.3751804071019489,0.3780372284265585,0.11309414917011829,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,15,3,2009,4,0,4,1,jagdish thakor,1,INC,283778,GEN,633187,1417623,patan,GEN,NA,16,44.67,44.82,no,18504,2.92,2.63,AEGJ10894,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,10th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),18054,22621,2338,22003.5,27490.5,2611,18344,26996,2123.5,18582,26266,2445,24238,30171,3371,1030130,1176932,1336408,1103531,1147571.6,1224774.8,1304512.8,1380237.3666666672,2.9200000000000017,1103531,0.265728279327174,0.3211643133250872,0.1386058709674849,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Tamil_Nadu,15,25,2009,4,0,4,1,"napoleon,d.",1,DMK,398742,GEN,832216,1049033,perambalur,GEN,NA,21,79.33,47.91,no,77604,9.32,2.56,GETN9974,State-based Party,10192,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),7898,9838,760,9274,11417.5,867,8577,11576,807,11702,13842,1149,14773,13070,1460,402640,439267,500463,420953.5,431941.6,457625.8,488223.8,511041.61666666716,9.319999999999993,420953.5,0.233041422973427,0.23954443685362659,-0.05738792078354038,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gujarat,15,11,2009,4,0,4,1,radadiya vitthalbhai hansrajbhai,1,INC,329436,GEN,660653,1385818,porbandar,GEN,NA,7,47.67,49.87,no,39503,5.98,2.27,AEGJ5155,National Party,3482,FALSE,4,INC,3482,PORBANDAR,TRUE,TRUE,1,FALSE,FALSE,TRUE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),16764,21038,1317,19530.5,23741,1560,14908,20124,1153,15935,19292,1230,19066,17863,1529,449428,519170,585186,484299,505221.6,538974.8,571982.8,606170.7000000011,5.979999999999997,484299,0.17938869620208564,0.2175997575625992,-0.07695896773997823,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,15,34,2009,4,0,4,1,kalmadi suresh,1,INC,279973,GEN,734641,1806953,pune,GEN,NA,36,40.66,38.11,no,25701,3.5,3.45,GEMH57972,National Party,3482,TRUE,4,INC,3482,PUNE,TRUE,TRUE,3,FALSE,TRUE,TRUE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),136778,169332,14026,157121.5,187868,16375.5,138475,178965.5,14094,169835,195933,17907,245181,197958,25780,5126017,7138494,9055431,6132255.5,6735998.6,7713575.1,8672043.6,9660766.433333278,3.5,6132255.5,0.36716933580542843,0.3644072996564187,0.010282122925199033,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,15,17,2009,4,0,4,1,pinaki misra,1,BJD,436961,GEN,910151,1322817,puri,GEN,NA,7,68.8,48.01,no,211305,23.22,2.94,GEOD58203,State-based Party,9079,TRUE,4,INC,3482,PURI,TRUE,FALSE,2,TRUE,FALSE,TRUE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),8678,10991,3377,7127,8442.5,2619,10711.5,15299,4321.5,10284,13855,4080,18526,18408,7429,1184222,1365141,1542910,1274681.5,1328957.2,1418471.7,1507356.2,1597238.1999999955,23.22,1274681.5,0.5885858614281929,0.5992942717535996,0.2841391744181241,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar_Pradesh,15,36,2009,4,0,4,1,sonia gandhi,0,INC,481490,GEN,666648,1379507,rae bareli,GEN,AVADH,16,48.33,72.23,no,372165,55.83,1.82,GEKA16390,National Party,3482,TRUE,4,INC,3482,RAEBAREILLY,FALSE,TRUE,5,FALSE,TRUE,TRUE,Others,Other,NA,NA,NA,Lok Sabha Election (GE),18876,23707,6708,10167,12720.5,3796.5,9083,14566.5,3214.5,9836,15987,3464,20098,24659,6557,2261548,2813457,3336996,2537502.5,2703075.2,2970518.7,3232288.2,3503041.5333333313,55.830000000000005,2537502.5,0.7145711832728203,0.638109190581293,0.43336605343080237,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Karnataka,15,6,2009,4,0,4,1,pakkirappa.s.,1,BJP,316450,ST,682264,1486326,raichur,ST,NA,8,45.9,46.38,no,30636,4.49,2.5,GEKA16613,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,5th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),29403,36906,3481,32964.5,41439.5,3784.5,31542.5,44882,3554.5,40343,50847,4586,53415,53410,5967,1331054,1640228,1894188,1485641,1578393.2,1716416,1843396,1987860.4333333373,4.490000000000002,1485641,0.28067370776385836,0.2632361041042319,0.04917687064765097,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,15,2,2009,4,0,4,1,vishnu deo sai,1,BJP,443948,ST,935746,1432746,raigarh,ST,NA,10,65.31,47.44,no,55848,5.97,2.5,AEMP19631,National Party,1605,TRUE,3,BJP,1605,RAIGARH,TRUE,TRUE,3,FALSE,TRUE,TRUE,10th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),71068,89438,20706,76596,93004.5,21944,74101,100801.5,20920,93558,112971,26607,145466,125108,40576,2827747,3398416,4042012,3113081.5,3284282.2,3591494.8,3913292.8,4211997.25,5.969999999999999,3113081.5,0.4413608174980812,0.4220024197523369,0.10204621566190752,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,15,8,2009,4,0,4,1,ramesh bais,1,BJP,364943,GEN,741861,1578868,raipur,GEN,NA,32,46.99,49.19,no,57901,7.8,2.44,AEMP7232,National Party,1605,TRUE,8,BJP,1605,RAIPUR,TRUE,TRUE,6,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),34477,43305,7013,26883.5,31984.5,5442,38989,54855.5,7655.5,56929,70368,11164,99560,87737,19155,1958344,2171709,2991567,2065026.5,2129036,2417666.4,2827595.4,3045468.2833333313,7.799999999999997,2065026.5,0.5589556001219069,0.5398694624785367,0.2206050888504567,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
