wiki_names,Candidate_trivedi_filtered,score
Yashodhara Raje Scindia,YASHODHARA RAJE SCINDIA,100
Ravishankar Shukla,ARUNSHANKARSHUKLA,80
Shyama Charan Shukla,Shyama Charan Shukla,100
Vidya Charan Shukla,VIDHYA CHARAN SHUKLA,97
Mohd. Anwar Nagori,Chandra Mohan Nagori,76
Dileep Singh Bhuria,DILEEP SINGH BHURIA,100
Nirmala Bhuria,KANTILAL BHURIA,76
Kantilal Bhuria,KANTILAL BHURIA,100
Kamal Nath,Kamal Nath,100
Nakul Nath,Nakul Patil,76
Alka Nath,ALKA KAMALNATH,78
Balbhadra Singh,Jai Bhadra Singh,77
Digvijaya Singh,DIGVIJAY SINGH,97
Jaivardhan Singh,Jasvant Singh,76
Lakshman Singh,LAKSHMAN SINGH,100
Mool Singh,MANPHOOL SINGH,83
Atal Bihari Vajpayee,ATAL BIHARI VAJPAYEE,100
Karuna Shukla,KARUNA SHUKLA,100
Yashwant Ambedkar,Ambedkar Prakash Yashwant,81
Prakash Ambedkar,AMBEDKAR PRAKASH YESHWANT,78
Shivendrasinghraje Bhosale,SHIVENDRA BAHADUR SINGH,73
Sameer Bhujbal,SAMEER  BHUJBAL,100
Premala Chavan,RELAM CHAUHAN,74
Ashok Chavan,ASHOK SHARMA,75
Raosaheb Danve,DANVE RAOSAHEB DADARAO,78
Santosh Danve,Santosh Jain,80
Amit Deshmukh,K. D. DESHMUKH,72
Priya Dutt,Parash Dutta,73
Yashwantrao Gadakh Patil,Vinod Yashwantrao Gudadhe (Patil),80
Shankarrao Gadakh,"Sankar, Adhi",71
Sunil Baliram Gaikwad,GAIKWAD SUNIL BALIRAM,100
R. S. Gavai,R S Gavai,100
Rajendra Gavai,RAJENDRA AGARWAL,80
Abdul Rahman Khan,ABDUL RAHMAN,83
Dhananjay Mahadik,MAHADIK DHANANJAY BHIMRAO,81
Pramod Mahajan,SAT MAHAJAN,72
Poonam Mahajan,Poonam Chand,77
Gopinath Munde,R.Gopinath,75
Dhananjay Munde,DHANANJAY SINGH,73
Avinash Naik,AVINASH RAI KHANNA,73
Sudhakarrao Naik,K. SUDHAKARAN,79
Manohar Naik,MURALI MANOHAR,77
Ganesh Naik,GANESH SINGH,70
Sanjeev Naik,DR.SANJEEV GANESH NAIK,71
Sandeep Naik,SANDEEP,74
Radhakrishna Vikhe Patil,RADHAKRISHNAN P,72
D. Y. Patil,D. B. PATIL,78
Satej Patil,SURESH PATIL,70
R. R. Patil,R.S. Patil,89
Suman Patil,SURYAKANTA PATIL,74
Jayant Patil,JAYANTI PATNAIK,81
Paranjape Prakash Vishvanath,PARANJAPE PRAKASH VISHVANATH,100
Anand Paranjpe,RANJEET RANJAN,71
Narayan Rane,RAJ NARAYAN,87
Sushilkumar Shinde,SHINDE SUSHILKUMAR SAMBHAJIRAO,75
Anil Shirole,ANIL SHIROLE,100
Chiranjib Biswal,RANJIB BISWAL,90
Ranjib Biswal,RANJIB BISWAL,100
Harekrushna Mahatab,Bhartruhari Mahtab,76
Bhartruhari Mahtab,Bhartruhari Mahtab,100
Biju Patnaik,BIJU PATNAIK,100
Sarala Devi,RAMA DEVI,80
Tathagata Satapathy,TATHAGATA SATAPATHY,100
Jayanti Patnaik,JAYANTI PATNAIK,100
Ranjit Singh Talwandi,TILAK RAJ SINGH,72
Capt. Amarinder Singh,Arvind Pratap Singh,72
Preneet Kaur,Preneet Kaur,100
Raninder Singh,RANINDER SINGH,100
Parkash Singh Badal,DALPAT SINGH PARASTE,77
Sukhbir Singh Badal,SUKHBIR SINGH BADAL,100
Harsimrat Kaur Badal,HARSIMRAT KAUR BADAL,100
Gurdas Singh Badal,Jai Bhadra Singh,71
Manpreet Singh Badal,KARTAR SINGH BHADANA,70
Beant Singh,AJIT SINGH,76
Gurkanwal Kaur,KANWALJEET KAUR,76
Tej Parkash Singh,TEJ NARAIN SINGH,79
Partap Singh Kairon,Gurinder Partap Singh Kairon,81
Surinder Singh Kairon,SURINDER SINGH KAIRON,100
Adesh Partap Singh Kairon,Gurinder Partap Singh Kairon,83
Gurinder Singh Kairon,Gurinder Partap Singh Kairon,86
Chaudhari Rajaram Jakhar,BADRI RAM JAKHAR,75
Balram Jakhar,BAL RAM JAKHAR,74
Late Satnam Singh Bajwa,PARTAP SINGH BAJWA,73
Partap Singh Bajwa,PARTAP SINGH BAJWA,100
Charanjit Kaur Bajwa,HARSIMRAT KAUR BADAL,70
Gurbinder Kaur Brar,KARAN KAUR BRAR,71
Karan Kaur Brar,KARAN KAUR BRAR,100
Chaudhary Surinder Singh,SURINDER SINGH KAIRON,76
Santokh Singh Chaudhary,SANTOSH CHOWDHARY,75
Surat Singh,SUNITA SINGH,78
Umrao Singh,UMANG SINGHAR,75
Sundar Singh Majithia,Shyam Sundar Singh,77
Harsimrat Kaur Badal,HARSIMRAT KAUR BADAL,100
Banwari Lal Sharma,Shyam Lal Bansiwal,78
Ashok Sharma,ASHOK SHARMA,100
Mithalesh Sharma,MUKESH SHARMA,76
Ritesh Sharma,MUKESH SHARMA,77
Shilpi Sharma,SHYAM SHARMA,72
Rajesh Pilot,RAJESH PILOT,100
Rama Pilot,RAJESH PILOT,73
Sachin Pilot,SACHIN PILOT,100
Ram Niwas Mirdha,NATHURAM MIRDHA,77
Harendra Mirdha,HARENDRA KUMAR,76
Raghuvendra Mirdha,NATHURAM MIRDHA,73
Nathuram Mirdha,NATHURAM MIRDHA,100
Dr. Jyoti Mirdha,DR. JYOTI MIRDHA,100
Poonam Chand Vishnoi,Poonam Chand,75
Ram Singh Bishnoi,JASWANT SINGH BISHNOI,79
Malkhan Singh Bishnoi,JASWANT SINGH BISHNOI,81
Jaswant Singh,JASWANT SINGH,100
Manvendra Singh,Manvendra Singh,100
Ashok Gehlot,ASHOK GAHLOT,92
Vasundhara Raje,VASUNDHARA RAJE,100
Dushyant Singh,DUSHYANT SINGH,100
Namo Narain Meena,Ramnaryan Meena,81
Om Prakash Meena,Om Prakash,77
Sachindra Lal Singh,SHIVENDRA BAHADUR SINGH,71
Asish Lal Singh,ACHAL SINGH,77
Mukhtar Ahmed Ansari,MUKHTAR ANSARI,82
Afzal Ansari,AFZAL ANSARI,100
Mannu Ansari,FURKAN ANSARI,72
Mukhtar Ansari,MUKHTAR ANSARI,100
Abbas Ansari,AFZAL ANSARI,75
Raja Bajrang Bahadur Singh,Jai Bhadra Singh,71
Uday Pratap Singh,UDAY PRATAP SINGH,100
Chaudhary Charan Singh,SANJAY SINGH CHAUHAN,71
Chaudhary Ajit Singh,Gajadhar Singh,76
Jayant Chaudhary,JAYANT CHAUDHARY,100
Chaudhary Narain Singh,HARISH CHOUDHARY,74
Sanjay Singh Chauhan,SANJAY SINGH CHAUHAN,100
Mahant Avaidyanath,AVAIDYANATH,76
Chaudhary Munawwar Hasan,CH. MUNAWWAR HASAN,83
Iqra Hasan,HANS RAJ HANS,70
Azam Khan,ASLAM SHERKHAN,70
Khurshed Alam Khan,ASLAM SHER KHAN,79
Salman Khurshid,SALMAN KHURSHEED,90
Kalyan Singh,KALYAN SINGH,100
Rajveer Singh,Rajo Singh,78
